Table 1
순번,평가영역,질문 유형,모의 면접 공통 질문,
1,A. 지원동기·기업이해,지원동기·자기주도성,"이 회사 또는 직무에 관심을 갖게 된 계기는 무엇입니까?
지원하는데 영향을 준 사람이 있는지?",
2,A. 지원동기·기업이해,지원동기·회사 적합성,우리 회사에 지원한 동기가 무엇인지?,
3,A. 지원동기·기업이해,회사·사업 통찰,"지원 기업이 현재 직면하고 있는 주요 과제 한 가지를 선정하고, 그 이유와 대응방안을 설명해 보세요
우리 회사가 당면한 가장 큰 문제는 무엇인지? 어떻게 해결해야 하는지?",
4,A. 지원동기·기업이해,기초 경영지식,"회사가 수익을 창출하는 기본적인 사업구조 또는 Business Model을 이해하고 있습니까?
재무제표가 무엇인지 아는지?",
5,B. 직무이해·직무적합성,직무이해·지원동기,희망(지원) 부서/직무를 선택한 이유는?,
6,B. 직무이해·직무적합성,직무이해,"지원한 직무의 주요 역할과 업무를 본인이 이해한 대로 설명해 보세요
지원 부서가 어떤 일을 하는지 알고 있는지? 설명해 보세요.",
7,B. 직무이해·직무적합성,직무적합성,희망(지원) 부서/직무의 어떤 점이 본인과 맞는다고 생각하는지?,
8,B. 직무이해·직무적합성,자기개발·준비도,"지원 직무를 위해 지금까지 어떤 준비를 해왔으며, 아직 부족하다고 생각하는 역량과 보완 계획은 무엇입니까?
어떻게 취업을 준비했고 무엇을 준비했는지? 아직도 부족하다고 느끼는 점은?",
9,B. 직무이해·직무적합성,직무수행·문제해결,"지원 직무를 수행하면서 예상되는 가장 큰 어려움은 무엇이며, 이를 어떻게 극복하겠습니까?
직무 수행 중 예상되는 가장 큰 어려움은?",
10,B. 직무이해·직무적합성,직무선호·유연성,"희망 직무와 다른 직무 또는 부서에 배치된다면 어떻게 하겠습니까?
작성(지원) 부서 말고 다른 데 희망하는 곳이 있는지?",
11,C. 경험·성과·주도성,도전·성과,스스로 높은 목표를 설정하고 끝까지 달성했던 경험을 설명해 주세요,
12,C. 경험·성과·주도성,실패경험·회복탄력성,목표를 달성하지 못했거나 실패했던 경험과 그 경험을 통해 무엇을 배웠습니까?,
13,C. 경험·성과·주도성,경험·다양성,"학업 외 활동 중 꾸준히 참여하거나 책임을 맡아 수행했던 경험이 있다면 설명해 주세요. 그 과정에서 무엇을 배웠습니까?
지금까지 학업 이외 활동한 게 있는지? 자료에 있는 것 말고 다른 활동(예: 동호회) 또는 취미가 있는지?",
14,C. 경험·성과·주도성,책임감·Ownership,본인의 역할 범위를 넘어서는 일이었지만 문제 해결을 위해 책임감을 가지고 행동했던 경험이 있습니까?,
15,C. 경험·성과·주도성,문제해결·개선,기존 방식의 문제점을 발견하고 스스로 개선했던 경험이 있습니까?,
16,C. 경험·성과·주도성,우선순위·시간관리,여러 과제나 업무가 동시에 주어졌을 때 우선순위를 조정해 완료했던 경험을 설명해 주세요.,
17,D. 협업·커뮤니케이션,협업·팀워크,팀으로 목표를 수행했던 경험 중 본인이 맡은 역할과 기여를 설명해 주세요,
18,D. 협업·커뮤니케이션,갈등관리·커뮤니케이션,다른 사람과 의견 충돌이 있었던 경험과 어떻게 해결했는지 설명해 주세요,
19,D. 협업·커뮤니케이션,협업·갈등관리,부서 내 비협조적인 동료가 있다면?,
20,D. 협업·커뮤니케이션,협업·갈등관리,"업무 수행 과정에서 상사와 의견이 다를 경우 어떻게 하겠습니까?
상사와 의견이 다르면?",
21,D. 협업·커뮤니케이션,협업성향,"혼자 수행하는 업무와 협업이 필요한 업무 중 어느 환경에서 강점이 있다고 생각하며, 상황에 따라 어떻게 업무방식을 조정합니까?
혼자 일하는 것을 좋아하는지? 아니면 함께 일하는 것을 선호하는지? 이유는?",
22,D. 협업·커뮤니케이션,창의성·커뮤니케이션,"본인의 직무 지식을 다른 사람에게 쉽게 설명하거나 공유한다면 어떤 주제를 어떤 방식으로 전달하고 싶습니까?
본인이 수행하는 업무와 관련해서 유튜브에 콘텐츠를 올릴 수 있다면 어떤 것을 올리고 싶은지?",
23,E. 문제해결·상황판단,변화대응·적응력,예상하지 못한 상황이나 계획 변경에 대응했던 경험을 설명해 주세요,
